fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.backwash_solids_handling.capital_a_parameter[default],fs.costing.backwash_solids_handling.capital_b_parameter[default],fs.costing.backwash_solids_handling.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[BackwashSolidsHandlingZO],fs.costing.LCOW_aggregate_indirect_capex[BackwashSolidsHandlingZO],fs.costing.LCOW_aggregate_fixed_opex[BackwashSolidsHandlingZO],fs.costing.LCOW_aggregate_variable_opex[BackwashSolidsHandlingZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties_in[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,12646.873129224134,0.0,0.0,1.6145994443089773,1106.0771322293162,13298.187095379177,1294.515541854756,41812.0,0.9183,1.0,4.381263638888887,0.0004381263638888888,4.162200456944443,0.00039431372749999994,0.21906318194444466,4.3812636388888886e-05,0.95,0.1,1.6145994443089773,12646.873129224134,1.0515,0.0149,7664.771593469172,188.4384096254396,188.4384096254396,1106.0771322293162,2159.5816963751863,18.9703096938362,632.3436564612067,12.646873129224135,11.382185816301721,101.17498503379308,37.9406193876724,25.29374625844827,0.015617907859221604,0.0036058637934934254,0.0026502197416228305,0.0013627702640785302,0.007999054060026815,0.0036058637934934254,0.0026502197416228305,0.0013627702640785302,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.004381701765252776,1.65,7664.771593469172,100,0.9,0.9,0.1,default,BackwashSolidsHandlingZO,backwash_solids_handling
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,97945.28500528746,0.0,0.0,15.002319836704247,10277.300020297396,102989.46718305977,11736.68476687618,41812.0,0.9183,1.0,40.70924131134258,0.004070924131134258,38.67377924577545,0.0036638317180208305,2.035462065567133,0.00040709241311342586,0.95,0.1,15.002319836704247,97945.28500528746,1.0515,0.0149,59360.77879108331,1459.384746578783,1459.384746578783,10277.300020297396,18436.297405287267,146.91792750793118,4897.264250264373,97.94528500528746,88.15075650475872,783.5622800422997,293.83585501586236,195.89057001057492,0.014349385472874175,0.0030054954093869488,0.0022089639885141737,0.001135872014946238,0.007999054060026814,0.0030054954093869488,0.0022089639885141737,0.001135872014946238,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.04071331223547372,1.65,59360.77879108331,100,0.9,0.9,0.9291666666666666,default,BackwashSolidsHandlingZO,backwash_solids_handling
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,175937.98036190792,0.0,0.0,28.390040229099515,19448.522908365474,184998.7863505462,22069.998815757903,41812.0,0.9183,1.0,77.03721898379627,0.007703721898379629,73.18535803460645,0.006933349708541666,3.851860949189806,0.0007703721898379629,0.95,0.1,28.390040229099515,175937.98036190792,1.0515,0.0149,106629.07900721692,2621.475907392428,2621.475907392428,19448.522908365474,34104.43535597042,263.90697054286187,8796.899018095397,175.93798036190793,158.34418232571713,1407.5038428952635,527.8139410857237,351.87596072381587,0.014026937849442294,0.0028528868620548145,0.0020968005214387383,0.0010781964059219248,0.007999054060026815,0.0028528868620548145,0.0020968005214387383,0.0010781964059219248,0.007999054060026815,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.07704492270569464,1.65,106629.07900721692,100,0.9,0.9,1.7583333333333333,default,BackwashSolidsHandlingZO,backwash_solids_handling
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,250859.87123173525,0.0,0.0,41.77776062149479,28619.74579643356,263779.1546001696,32357.557877786414,41812.0,0.9183,1.0,113.36519665624996,0.011336519665624998,107.69693682343745,0.010202867699062496,5.668259832812508,0.0011336519665625,0.95,0.1,41.77776062149479,250859.87123173525,1.0515,0.0149,152036.28559499106,3737.8120813528553,3737.8120813528553,28619.74579643356,49516.77042878958,376.2898068476029,12542.993561586763,250.85987123173524,225.77388410856173,2006.878969853882,752.5796136952058,501.7197424634705,0.01383965204845332,0.002764247926773904,0.0020316531199806504,0.0010446969416719517,0.007999054060026815,0.002764247926773904,0.0020316531199806504,0.0010446969416719517,0.007999054060026815,0.007999054060026814,0.10235745599986289,0.10235745599986289,0.11337653317591559,1.65,152036.28559499106,100,0.9,0.9,2.5875,default,BackwashSolidsHandlingZO,backwash_solids_handling
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,323810.1361235574,0.0,0.0,55.16548101389004,37790.96868450162,340486.35813392064,42615.73971274263,41812.0,0.9183,1.0,149.69317432870363,0.014969317432870366,142.20851561226846,0.013472385689583335,7.484658716435169,0.0014969317432870367,0.95,0.1,55.16548101389004,323810.1361235574,1.0515,0.0149,196248.56734761054,4824.771028241005,4824.771028241005,37790.96868450162,64764.86593461117,485.7152041853361,16190.506806177871,323.8101361235574,291.4291225112017,2590.4810889884593,971.4304083706722,647.6202722471148,0.013708504487576241,0.002702178191110829,0.0019860334160116825,0.001021238820426916,0.007999054060026814,0.002702178191110829,0.0019860334160116825,0.001021238820426916,0.007999054060026814,0.007999054060026812,0.10235745599986286,0.10235745599986286,0.1497081436461365,1.65,196248.56734761054,100,0.9,0.9,3.4166666666666665,default,BackwashSolidsHandlingZO,backwash_solids_handling
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,395313.39617527934,0.0,0.0,68.55320140628531,46962.19157256971,415672.03607830626,52852.361175581376,41812.0,0.9183,1.0,186.02115200115733,0.018602115200115732,176.72009440109946,0.016741903680104163,9.301057600057879,0.0018602115200115736,0.95,0.1,68.55320140628531,395313.39617527934,1.0515,0.0149,239583.87646986629,5890.169603011662,5890.169603011662,46962.19157256971,79892.42364521569,592.970094262919,19765.669808763967,395.31339617527937,355.78205655775145,3162.507169402235,1185.940188525838,790.6267923505587,0.01360804924823648,0.0026546345684152154,0.0019510900419209731,0.0010032705778734773,0.007999054060026814,0.0026546345684152154,0.0019510900419209731,0.0010032705778734773,0.007999054060026814,0.007999054060026814,0.10235745599986286,0.10235745599986286,0.18603975411635745,1.65,239583.87646986629,100,0.9,0.9,4.245833333333333,default,BackwashSolidsHandlingZO,backwash_solids_handling
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,465677.3162623748,0.0,0.0,81.94092179868058,56133.41446063778,489659.69804988714,63072.00647294716,41812.0,0.9183,1.0,222.349129673611,0.022234912967361103,211.23167318993043,0.020011421670624994,11.117456483680568,0.0022234912967361176,0.95,0.1,81.94092179868058,465677.3162623748,1.0515,0.0149,282228.6765226514,6938.592012309385,6938.592012309385,56133.41446063778,94925.07253206722,698.5159743935623,23283.86581311874,465.6773162623748,419.10958463613736,3725.4185300989984,1397.0319487871245,931.3546325247496,0.01352689470490737,0.0026162256112176314,0.001922860418604679,0.000988754615058248,0.007999054060026814,0.0026162256112176314,0.001922860418604679,0.000988754615058248,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.22237136458657836,1.65,282228.6765226514,100,0.9,0.9,5.074999999999999,default,BackwashSolidsHandlingZO,backwash_solids_handling
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,535103.8948145957,0.0,0.0,95.32864219107586,65304.63734870587,562661.7453975475,73277.68538144336,41812.0,0.9183,1.0,258.6771073460647,0.025867710734606475,245.7432519787615,0.02328093966114583,12.933855367303215,0.002586771073460648,0.95,0.1,95.32864219107586,535103.8948145957,1.0515,0.0149,324305.3907967247,7973.048032737476,7973.048032737476,65304.63734870587,109879.63938432702,802.6558422218935,26755.194740729785,535.1038948145957,481.5935053331362,4280.831158516766,1605.311684443787,1070.2077896291914,0.013458970315358485,0.0025840782431981314,0.0018992329067945457,0.0009766051053389912,0.007999054060026815,0.0025840782431981314,0.0018992329067945457,0.0009766051053389912,0.007999054060026815,0.007999054060026815,0.10235745599986289,0.10235745599986289,0.2587029750567993,1.65,324305.3907967247,100,0.9,0.9,5.904166666666666,default,BackwashSolidsHandlingZO,backwash_solids_handling
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,603735.7263299084,0.0,0.0,108.7163625834711,74475.86023677394,634828.1162358988,83471.52255908957,41812.0,0.9183,1.0,295.00508501851834,0.029500508501851843,280.2548307675924,0.02655045765166665,14.750254250925884,0.0029500508501851754,0.95,0.1,108.7163625834711,603735.7263299084,1.0515,0.0149,365900.4401999445,8995.662322315635,8995.662322315635,74475.86023677394,124768.00254954341,905.6035894948626,30186.786316495418,603.7357263299084,543.3621536969175,4829.885810639267,1811.2071789897252,1207.4714526598168,0.013400664244527464,0.002556483049053224,0.0018789511289778937,0.0009661760064695302,0.007999054060026814,0.002556483049053224,0.0018789511289778937,0.0009661760064695302,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.29503458552702017,1.65,365900.4401999445,100,0.9,0.9,6.7333333333333325,default,BackwashSolidsHandlingZO,backwash_solids_handling
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,671678.7169654644,0.0,0.0,122.10408297586639,83647.08312484203,706270.1708891859,93655.09600762744,41812.0,0.9183,1.0,331.3330626909721,0.03313330626909721,314.76640955642347,0.029819975642187486,16.566653134548634,0.0033133306269097318,0.95,0.1,122.10408297586639,671678.7169654644,1.0515,0.0149,407078.01028209965,10008.01288278542,10008.01288278542,83647.08312484203,139598.98417836113,1007.5180754481967,33583.93584827322,671.6787169654644,604.510845268918,5373.429735723716,2015.0361508963933,1343.357433930929,0.013349656430947394,0.002532341986234423,0.0018612080513326454,0.0009570523333535136,0.007999054060026814,0.002532341986234423,0.0018612080513326454,0.0009570523333535136,0.007999054060026814,0.007999054060026814,0.10235745599986287,0.10235745599986287,0.3313661959972412,1.65,407078.01028209965,100,0.9,0.9,7.562499999999999,default,BackwashSolidsHandlingZO,backwash_solids_handling
